date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:17	3281/3281	---M--	500	error ('Internal%20Server%20Error')	text/html	etag:%22cd1-CWLWH61wG4R/bJh4KRjtmHdIAhk%22	http://whspr.xyz/robots.txt		(from )
16:38:18	90252/90252	---M--	200	added ('OK')	text/html	etag:%221608c-qp9GjEWHPiOzm3n3kjCNpcoKzgw%22	http://whspr.xyz/	C:/My%20Web%20Sites/kk/whspr.xyz/index.html	(from )
16:38:20	1333/1333	---M--	200	added ('OK')	image/png	etag:W/%22535-164b7a88cd0%22	http://whspr.xyz/static/favicons/universelogo/apple-touch-icon.png	C:/My%20Web%20Sites/kk/whspr.xyz/static/favicons/universelogo/apple-touch-icon.png	(from http://whspr.xyz/)
16:38:21	466/466	---M--	200	added ('OK')	image/png	etag:W/%221d2-164b7a88cd0%22	http://whspr.xyz/static/favicons/universelogo/favicon-32x32.png	C:/My%20Web%20Sites/kk/whspr.xyz/static/favicons/universelogo/favicon-32x32.png	(from http://whspr.xyz/)
16:38:21	261/261	---M--	200	added ('OK')	image/png	etag:W/%22105-164b7a88cd0%22	http://whspr.xyz/static/favicons/universelogo/favicon-16x16.png	C:/My%20Web%20Sites/kk/whspr.xyz/static/favicons/universelogo/favicon-16x16.png	(from http://whspr.xyz/)
16:38:21	484/484	---M--	200	added ('OK')	application/manifest+json	etag:W/%221e4-164b7a88cd0%22	http://whspr.xyz/static/favicons/universelogo/site.webmanifest	C:/My%20Web%20Sites/kk/whspr.xyz/static/favicons/universelogo/site.webmanifest	(from http://whspr.xyz/)
16:38:22	2193/2193	---M--	200	added ('OK')	image/svg+xml	etag:W/%22891-164b7a88cd0%22	http://whspr.xyz/static/favicons/universelogo/safari-pinned-tab.svg	C:/My%20Web%20Sites/kk/whspr.xyz/static/favicons/universelogo/safari-pinned-tab.svg	(from http://whspr.xyz/)
16:38:22	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:W/%223aee-164b7a88cd0%22	http://whspr.xyz/static/favicons/universelogo/favicon.ico	C:/My%20Web%20Sites/kk/whspr.xyz/static/favicons/universelogo/favicon.ico	(from http://whspr.xyz/)
16:38:23	186/186	---M--	200	added ('OK')	application/javascript	etag:W/%22ba-164cde53138%22	http://whspr.xyz/_next/48767547-2dce-45c2-a689-f04b2c30727a/page/index.js	C:/My%20Web%20Sites/kk/whspr.xyz/_next/48767547-2dce-45c2-a689-f04b2c30727a/page/index.js	(from http://whspr.xyz/)
16:38:23	192/192	---M--	200	added ('OK')	application/javascript	etag:W/%22c0-164cde53138%22	http://whspr.xyz/_next/48767547-2dce-45c2-a689-f04b2c30727a/page/_error.js	C:/My%20Web%20Sites/kk/whspr.xyz/_next/48767547-2dce-45c2-a689-f04b2c30727a/page/_error.js	(from http://whspr.xyz/)
16:38:24	21968/21968	---M--	200	added ('OK')	text/css	etag:W/%2255d0-164b7a88cd0%22	http://whspr.xyz/static/styles.css	C:/My%20Web%20Sites/kk/whspr.xyz/static/styles.css	(from http://whspr.xyz/)
16:38:29	102062/102062	---M-Z	200	added ('OK')	application/javascript	etag:%22b69098eceb1e4b1f18e76dfe5ff01d12%22	https://checkout.stripe.com/checkout.js	C:/My%20Web%20Sites/kk/checkout.stripe.com/checkout.js	(from http://whspr.xyz/)
16:38:31	39946/39946	---MCZ	200	added ('OK')	text/css	etag:%22833bd899df9cd72bb668dece80a51851%22	https://api.tiles.mapbox.com/mapbox-gl-js/v0.39.1/mapbox-gl.css	C:/My%20Web%20Sites/kk/api.tiles.mapbox.com/mapbox-gl-js/v0.39.1/mapbox-gl.css	(from http://whspr.xyz/)
16:38:32	383/383	---M--	200	added ('OK')	application/javascript	etag:W/%2217f-164b7a88cd0%22	http://whspr.xyz/static/analytics.js	C:/My%20Web%20Sites/kk/whspr.xyz/static/analytics.js	(from http://whspr.xyz/)
16:38:34	266957/266957	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2007%20Sep%202017%2010:49:40%20GMT	https://connect.soundcloud.com/sdk/sdk-3.2.2.js	C:/My%20Web%20Sites/kk/connect.soundcloud.com/sdk/sdk-3.2.2.js	(from http://whspr.xyz/)
16:38:42	631561/631561	---MCZ	200	added ('OK')	application/javascript	etag:%22bfeb2e2b2f22cfd1565042aff429e4b8%22	https://api.tiles.mapbox.com/mapbox-gl-js/v0.42.0/mapbox-gl.js	C:/My%20Web%20Sites/kk/api.tiles.mapbox.com/mapbox-gl-js/v0.42.0/mapbox-gl.js	(from http://whspr.xyz/)
16:39:04	731085/731085	---M--	200	added ('OK')	application/javascript	etag:W/%22b27cd-164cde53138%22	http://whspr.xyz/_next/3884eabcf8385db5db1f51779b784596/app.js	C:/My%20Web%20Sites/kk/whspr.xyz/_next/3884eabcf8385db5db1f51779b784596/app.js	(from http://whspr.xyz/)
