date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:42	219/219	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Aug%202018%2009:17:44%20GMT	http://inspirobot.me/robots.txt		(from )
17:17:43	9650/9650	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2009:17:45%20GMT	http://inspirobot.me/	C:/My%20Web%20Sites/k/inspirobot.me/index.html	(from )
17:17:44	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	C:/My%20Web%20Sites/k/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	(from http://inspirobot.me/)
17:17:45	11224/11224	---MCZ	200	added ('OK')	text/css	etag:W/%22KBSg-g%22	http://inspirobot.me/website/css/style.css	C:/My%20Web%20Sites/k/inspirobot.me/website/css/style.css	(from http://inspirobot.me/)
17:17:45	1178/1178	---MCZ	200	added ('OK')	text/css	etag:W/%22KBSg-g%22	http://inspirobot.me/website/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/k/inspirobot.me/website/owl-carousel/owl.carousel.css	(from http://inspirobot.me/)
17:17:45	17326/17326	---MC-	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/favicon.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/favicon.png	(from http://inspirobot.me/)
17:17:45	1152/1152	---MCZ	200	added ('OK')	text/css	etag:W/%22KBSg-g%22	http://inspirobot.me/website/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/k/inspirobot.me/website/owl-carousel/owl.theme.css	(from http://inspirobot.me/)
17:17:45	6255/6255	---MCZ	200	added ('OK')	text/css	etag:%22KBSg-g%22	http://inspirobot.me/website/css/bootstrap-switch.min.css	C:/My%20Web%20Sites/k/inspirobot.me/website/css/bootstrap-switch.min.css	(from http://inspirobot.me/)
17:17:47	35951/35951	---M-Z	200	added ('OK')	application/javascript	etag:%221519106282%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js	C:/My%20Web%20Sites/k/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js	(from http://inspirobot.me/)
17:17:48	33412/33412	---M-Z	200	added ('OK')	application/javascript	etag:%22KBSg-g%22	http://inspirobot.me/website/js/howler.min.js	C:/My%20Web%20Sites/k/inspirobot.me/website/js/howler.min.js	(from http://inspirobot.me/)
17:17:49	30026/30026	---MCZ	200	added ('OK')	application/javascript	etag:W/%22KBSg-g%22	http://inspirobot.me/website/js/main.js	C:/My%20Web%20Sites/k/inspirobot.me/website/js/main.js	(from http://inspirobot.me/)
17:17:49	29950/29950	---MCZ	200	added ('OK')	application/javascript	etag:W/%22KBSg-g%22	http://inspirobot.me/website/owl-carousel/owl.carousel.js	C:/My%20Web%20Sites/k/inspirobot.me/website/owl-carousel/owl.carousel.js	(from http://inspirobot.me/)
17:17:50	234455/234455	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eab91c034ae81e16f4f77f0512f32630%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/k/connect.facebook.net/en_US/sdk.js	(from http://inspirobot.me/)
17:17:51	15724/15724	---MCZ	200	added ('OK')	application/javascript	etag:%22KBSg-g%22	http://inspirobot.me/website/js/bootstrap-switch.min.js	C:/My%20Web%20Sites/k/inspirobot.me/website/js/bootstrap-switch.min.js	(from http://inspirobot.me/)
17:17:53	4508/4508	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2009:17:54%20GMT	http://inspirobot.me/mindfulnessmode	C:/My%20Web%20Sites/k/inspirobot.me/mindfulnessmode.html	(from http://inspirobot.me/)
17:17:53	282766/282766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-4508e%22	http://code.jquery.com/jquery.js	C:/My%20Web%20Sites/k/code.jquery.com/jquery.js	(from http://inspirobot.me/)
17:17:54	710/710	---MC-	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/twitter.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/twitter.png	(from http://inspirobot.me/)
17:17:54	603/603	---MC-	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/facebook.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/facebook.png	(from http://inspirobot.me/)
17:17:55	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/k/www.google-analytics.com/analytics.js	(from http://inspirobot.me/)
17:17:55	1881/1881	---M--	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/icons/poster.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/icons/poster.png	(from http://inspirobot.me/)
17:17:56	9528/9528	---MC-	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/icons/tshirt.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/icons/tshirt.png	(from http://inspirobot.me/)
17:17:56	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2028%20Aug%202018%2009:17:58%20GMT	http://badges.instagram.com/static/images/ig-badge-view-sprite-24.png	C:/My%20Web%20Sites/k/badges.instagram.com/static/images/ig-badge-view-sprite-24.16.delayed	(from http://inspirobot.me/)
17:17:56	4984/4984	---M--	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/icons/mug.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/icons/mug.png	(from http://inspirobot.me/)
17:17:56	1913/1913	---MC-	200	added ('OK')	image/png	etag:%22KBSg-g%22	http://inspirobot.me/website/images/icons/sticker.png	C:/My%20Web%20Sites/k/inspirobot.me/website/images/icons/sticker.png	(from http://inspirobot.me/)
17:17:56	240427/240427	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/jquery-ui.min.js	C:/My%20Web%20Sites/k/ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/jquery-ui.min.js	(from http://inspirobot.me/)
